"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Etmopterus_villosus","Squaliformes","Etmopteridae",0.675,0.0216,5.53888932355615,65.2,"Deepwater","LC","Benthopelagic"
"Etmopterus_virens","Squaliformes","Etmopteridae",1.3,0.0246,12.6698652450626,26,"Deepwater","LC","Benthopelagic"
"Eucrossorhinus_dasypogon","Orectolobiformes","Orectolobidae",0.7142857143,0.0212,27.444097764741,125,"Coastal","LC","Benthic"
"Euprotomicroides_zantedeschia","Squaliformes","Dalatiidae",1.2,0.0458,10.1984628151698,41.35,"Deepwater","LC","Pelagic"
"Euprotomicrus_bispinatus","Squaliformes","Dalatiidae",1.536363636,0.0164,13.663630386354,27,"Deepwater","LC","Pelagic"
"Figaro_boardmani","Carcharhiniformes","Pentanchidae",0.64,0.0222,11.4642338051918,61,"Deepwater","LC","Benthic"
"Figaro_striatus","Carcharhiniformes","Pentanchidae",1.0125,0.0176,14.8216288673634,42,"Deepwater","DD","Benthic"
"Furgaleus_macki","Carcharhiniformes","Triakidae",1.730769231,0.032,17.5330272499288,150,"Coastal","LC","Benthopelagic"
"Galeocerdo_cuvier","Carcharhiniformes","Galeocerdidae",2.223076923,0.0364,17.6282494851733,740,"Coastal","NT","Benthopelagic"
"Galeorhinus_galeus","Carcharhiniformes","Triakidae",1.607142857,0.0288,12.0025199380667,96,"Coastal","CR","Benthopelagic"
"Galeus_antillensis","Carcharhiniformes","Pentanchidae",0.5333333333,0.0146,13.3978456227557,46,"Deepwater","LC","Benthic"
"Galeus_arae","Carcharhiniformes","Pentanchidae",0.4266666667,0.0164,12.1006508050752,33,"Deepwater","LC","Benthic"
"Galeus_atlanticus","Carcharhiniformes","Pentanchidae",0.5785714286,0.0244,12.2147899965087,46,"Deepwater","NT","Benthic"
"Galeus_cadenati","Carcharhiniformes","Pentanchidae",0.3266666667,0.0126,11.7773976624012,35,"Deepwater","LC","Benthic"
"Galeus_eastmani","Carcharhiniformes","Pentanchidae",0.4266666667,0.0224,13.913627115989,65,"Deepwater","LC","Benthic"
"Galeus_gracilis","Carcharhiniformes","Pentanchidae",0.9090909091,0.0188,11.1319169289418,34,"Deepwater","DD","Benthic"
"Galeus_longirostris","Carcharhiniformes","Pentanchidae",0.6230769231,0.0216,12.3883182030705,80.6,"Deepwater","LC","Benthic"
"Galeus_melastomus","Carcharhiniformes","Pentanchidae",0.5882352941,0.0216,11.6075156894866,90,"Deepwater","LC","Benthopelagic"
"Galeus_mincaronei","Carcharhiniformes","Pentanchidae",0.49,0.0152,14.5563309430126,43,"Deepwater","VU","Benthic"
"Galeus_murinus","Carcharhiniformes","Pentanchidae",0.5785714286,0.0196,6.97464435452561,63,"Deepwater","LC","Benthic"
"Galeus_nipponensis","Carcharhiniformes","Pentanchidae",1,0.0336,12.7491465833577,80,"Deepwater","LC","Benthic"
"Galeus_piperatus","Carcharhiniformes","Pentanchidae",0.6666666667,0.0262,7.54917082060457,37,"Deepwater","LC","Benthic"
"Galeus_polli","Carcharhiniformes","Pentanchidae",1.05625,0.0314,11.0803125484405,43,"Deepwater","VU","Benthic"
"Galeus_priapus","Carcharhiniformes","Pentanchidae",0.8333333333,0.0216,11.7054555940255,45.5,"Deepwater","LC","Benthic"
"Galeus_sauteri","Carcharhiniformes","Pentanchidae",0.5785714286,0.021,18.1081442631865,49.8,"Coastal","LC","Benthic"
"Galeus_schultzi","Carcharhiniformes","Pentanchidae",0.3266666667,0.0142,20.1516499366516,29.7,"Deepwater","LC","Benthic"
"Galeus_springeri","Carcharhiniformes","Pentanchidae",0.3769230769,0.0154,11.5147631692387,44,"Deepwater","LC","Benthic"
"Ginglymostoma_cirratum","Orectolobiformes","Ginglymostomatidae",0.852173913,0.035,24.1587416576921,308,"Coastal","VU","Benthic"
"Glyphis_gangeticus","Carcharhiniformes","Carcharhinidae",2.594117647,0.0494,27.3465723004192,266,"Coastal","CR","Benthopelagic"
"Glyphis_garricki","Carcharhiniformes","Carcharhinidae",2.666666667,0.0404,28.1026897408267,251,"Coastal","VU","Benthic"
"Glyphis_glyphis","Carcharhiniformes","Carcharhinidae",1.306666667,0.0362,27.9576661509852,260,"Coastal","VU","Benthopelagic"
"Gollum_attenuatus","Carcharhiniformes","Pseudotriakidae",0.6125,0.0172,10.2866467492168,110,"Deepwater","LC","Benthic"
"Halaelurus_boesemani","Carcharhiniformes","Pentanchidae",1.008333333,0.0134,24.1961391431476,48,"Coastal","VU","Benthic"
"Halaelurus_buergeri","Carcharhiniformes","Pentanchidae",0.81,0.0144,18.9410730241663,49,"Coastal","EN","Benthic"
"Halaelurus_lineatus","Carcharhiniformes","Pentanchidae",0.5444444444,0.0168,22.420005294785,56,"Coastal","LC","Benthic"
"Halaelurus_maculosus","Carcharhiniformes","Pentanchidae",0.6125,0.0194,25.7033787450847,53,"Coastal","NT","Benthic"
"Halaelurus_natalensis","Carcharhiniformes","Pentanchidae",0.5444444444,0.0274,18.1582158264486,50,"Coastal","VU","Benthic"
"Halaelurus_quagga","Carcharhiniformes","Pentanchidae",0.5444444444,0.0154,20.6599670713887,37,"Coastal","DD","Benthic"
"Halaelurus_sellus","Carcharhiniformes","Pentanchidae",0.6125,0.0192,24.4036322183109,42,"Coastal","LC","Benthic"
"Haploblepharus_edwardsii","Carcharhiniformes","Pentanchidae",0.5818181818,0.0236,15.0935545053449,64,"Coastal","EN","Benthic"
"Haploblepharus_fuscus","Carcharhiniformes","Pentanchidae",0.5818181818,0.0274,20.6609028010141,69,"Coastal","VU","Benthic"
"Haploblepharus_kistnasamyi","Carcharhiniformes","Pentanchidae",0.9307692308,0.0254,20.8278754983629,50,"Coastal","VU","Benthic"
"Haploblepharus_pictus","Carcharhiniformes","Pentanchidae",0.81,0.0192,16.4828653383737,60,"Coastal","LC","Benthic"
"Hemigaleus_australiensis","Carcharhiniformes","Hemigaleidae",1.344444444,0.0326,25.7959032450459,110,"Coastal","LC","Benthopelagic"
"Hemigaleus_microstoma","Carcharhiniformes","Hemigaleidae",0.81,0.0222,26.23882111722,114,"Coastal","VU","Benthopelagic"
"Hemipristis_elongata","Carcharhiniformes","Hemigaleidae",1.633333333,0.0398,26.1105773645159,240,"Coastal","VU","Benthopelagic"
"Hemiscyllium_freycineti","Orectolobiformes","Hemiscylliidae",0.4083333333,0.025,28.8188455209792,68,"Coastal","NT","Benthic"
"Hemiscyllium_galei","Orectolobiformes","Hemiscylliidae",0.3,0.0298,28.9378939911171,57,"Coastal","VU","Benthic"
"Hemiscyllium_hallstromi","Orectolobiformes","Hemiscylliidae",0.3272727273,0.0272,27.3833588523732,77,"Coastal","VU","Benthic"
"Hemiscyllium_halmahera","Orectolobiformes","Hemiscylliidae",0.332,0.0395,28.8792005934805,79,"Coastal","NT","Benthic"
"Hemiscyllium_henryi","Orectolobiformes","Hemiscylliidae",0.3272727273,0.0312,28.0791330104921,82,"Coastal","VU","Benthic"
"Hemiscyllium_michaeli","Orectolobiformes","Hemiscylliidae",0.35,0.0278,28.1900909565113,70,"Coastal","VU","Benthic"
"Hemiscyllium_ocellatum","Orectolobiformes","Hemiscylliidae",0.25,0.0262,27.3301953450447,107,"Coastal","LC","Benthic"
"Hemiscyllium_strahani","Orectolobiformes","Hemiscylliidae",0.6230769231,0.0248,28.9596799577985,73,"Coastal","VU","Benthic"
"Hemiscyllium_trispeculare","Orectolobiformes","Hemiscylliidae",0.8333333333,0.0356,27.5129611527579,79,"Coastal","LC","Benthic"
"Hemitriakis_abdita","Carcharhiniformes","Triakidae",1.877777778,0.0146,16.750246354852,60,"Deepwater","DD","Benthopelagic"
"Hemitriakis_complicofasciata","Carcharhiniformes","Triakidae",1.877777778,0.0216,21.0817763598668,120,"Coastal","VU","Benthopelagic"
"Hemitriakis_falcata","Carcharhiniformes","Triakidae",2.177777778,0.0156,21.2337166388982,80,"Coastal","LC","Benthopelagic"
"Hemitriakis_indroyonoi","Carcharhiniformes","Triakidae",1.5125,0.0176,24.2166580648983,120,"Coastal","EN","Benthic"
"Hemitriakis_japanica","Carcharhiniformes","Triakidae",0.7111111111,0.0204,18.5075700392635,108,"Coastal","EN","Benthopelagic"
"Hemitriakis_leucoperiptera","Carcharhiniformes","Triakidae",1.878,0.0286,27.9166403006584,96,"Coastal","CR","Benthopelagic"
"Heptranchias_perlo","Hexanchiformes","Hexanchidae",0.9388888889,0.0622857142857143,16.5179806132406,140,"Deepwater","NT","Benthopelagic"
"Heterodontus_francisci","Heterodontiformes","Heterodontidae",1.184210526,0.0412,15.9810530636361,120,"Coastal","DD","Benthic"
"Heterodontus_galeatus","Heterodontiformes","Heterodontidae",1.904761905,0.048,20.7898979603622,150,"Coastal","LC","Benthic"
"Heterodontus_japonicus","Heterodontiformes","Heterodontidae",1.764,0.0472,17.0730826821104,120,"Coastal","LC","Benthic"
"Heterodontus_mexicanus","Heterodontiformes","Heterodontidae",1.323529412,0.0412,22.9325609534516,70,"Coastal","LC","Benthic"
"Heterodontus_omanensis","Heterodontiformes","Heterodontidae",1.184210526,0.0616,22.4983711169316,61,"Coastal","DD","Benthic"
"Heterodontus_portusjacksoni","Heterodontiformes","Heterodontidae",1.640909091,0.0562,16.1553044892226,130,"Coastal","LC","Benthic"
"Heterodontus_quoyi","Heterodontiformes","Heterodontidae",1.605555556,0.0502,18.4918257169972,105,"Coastal","LC","Benthic"
"Heterodontus_ramalheira","Heterodontiformes","Heterodontidae",1.605555556,0.0362,21.2144062661347,83,"Coastal","DD","Benthic"
"Heterodontus_zebra","Heterodontiformes","Heterodontidae",1.347368421,0.038,22.2510895487979,122,"Coastal","LC","Benthic"
"Heteroscymnoides_marleyi","Squaliformes","Dalatiidae",1.5,0.0218,17.4233158199921,37,"Pelagic","LC","Pelagic"
"Hexanchus_griseus","Hexanchiformes","Hexanchidae",0.98,0.0673333333333333,14.7806981923105,550,"Deepwater","NT","Benthopelagic"
"Hexanchus_nakamurai","Hexanchiformes","Hexanchidae",0.8066666667,0.0461666666666667,17.9307837651907,177.8,"Deepwater","NT","Benthopelagic"
"Holohalaelurus_favus","Carcharhiniformes","Pentanchidae",0.81,0.0136,11.5253303583894,51.5,"Deepwater","EN","Benthic"
"Holohalaelurus_grennian","Carcharhiniformes","Pentanchidae",0.4,0.016,12.6104054935579,27,"Deepwater","DD","Benthic"
"Holohalaelurus_melanostigma","Carcharhiniformes","Pentanchidae",0.81,0.0114,8.34175120762416,38,"Deepwater","LC","Benthic"
"Holohalaelurus_punctatus","Carcharhiniformes","Pentanchidae",0.6125,0.0192,12.9786635612588,34,"Deepwater","EN","Benthic"
"Holohalaelurus_regani","Carcharhiniformes","Pentanchidae",0.64,0.0144,13.5298991272789,69,"Deepwater","LC","Benthic"
"Hypogaleus_hyugaensis","Carcharhiniformes","Triakidae",2.045454545,0.0294,18.455606411188,150,"Coastal","LC","Benthopelagic"
"Iago_garricki","Carcharhiniformes","Triakidae",1.21,0.0274,11.3361342366082,75,"Deepwater","LC","Benthopelagic"
"Iago_omanensis","Carcharhiniformes","Triakidae",1.536363636,0.0402,17.3402401407399,89,"Deepwater","LC","Benthopelagic"
"Isistius_brasiliensis","Squaliformes","Dalatiidae",2.327272727,0.0202,12.5091104254015,56,"Deepwater","LC","Pelagic"
"Isistius_plutodus","Squaliformes","Dalatiidae",1.066666667,0.012,21.3397960279464,42,"Pelagic","LC","Pelagic"
"Isogomphodon_oxyrhynchus","Carcharhiniformes","Carcharhinidae",1.3,0.033,27.317448059061,160,"Coastal","CR","Benthopelagic"
"Isurus_oxyrinchus","Lamniformes","Lamnidae",4.126315789,0.0802,16.3921917540302,445,"Pelagic","EN","Pelagic"
"Isurus_paucus","Lamniformes","Lamnidae",5.294117647,0.0714,13.6874320105649,427,"Pelagic","EN","Pelagic"
"Lamiopsis_temminckii","Carcharhiniformes","Carcharhinidae",1.028571429,0.0308,27.6183258111061,178,"Coastal","EN","Benthopelagic"
"Lamiopsis_tephrodes","Carcharhiniformes","Carcharhinidae",2.406666667,0.0352,27.7025764305162,157,"Coastal","EN","Benthic"
"Lamna_ditropis","Lamniformes","Lamnidae",3.563636364,0.0746,7.16146977534725,350,"Pelagic","LC","Pelagic"
"Lamna_nasus","Lamniformes","Lamnidae",3.733333333,0.0862,7.29786681701984,357,"Pelagic","VU","Pelagic"
"Leptocharias_smithii","Carcharhiniformes","Leptochariidae",0.5444444444,0.0234,21.7996484741371,89,"Coastal","VU","Benthic"
"Loxodon_macrorhinus","Carcharhiniformes","Carcharhinidae",2.133333333,0.0302,26.2215950065618,99,"Coastal","NT","Benthopelagic"
"Megachasma_pelagios","Lamniformes","Megachasmidae",1.904761905,0.052,14.0182437793681,900,"Pelagic","LC","Pelagic"
"Mitsukurina_owstoni","Lamniformes","Mitsukurinidae",1.125,0.0446,14.3074526905282,410,"Pelagic","LC","Benthopelagic"
"Mollisquama_parini","Squaliformes","Dalatiidae",1.306666667,0.0262,9.66786297884854,40,"Pelagic","LC","Pelagic"
"Mustelus_albipinnis","Carcharhiniformes","Triakidae",1.877777778,0.0278,13.4323581200278,118,"Coastal","LC","Benthopelagic"
"Mustelus_asterias","Carcharhiniformes","Triakidae",1,0.0294,13.7193468748434,140,"Coastal","NT","Benthopelagic"
"Mustelus_californicus","Carcharhiniformes","Triakidae",1.0125,0.0286,16.6367404960866,160,"Coastal","LC","Benthopelagic"
"Mustelus_canis","Carcharhiniformes","Triakidae",1.2,0.031,18.3555656925311,150,"Coastal","NT","Benthopelagic"
"Mustelus_dorsalis","Carcharhiniformes","Triakidae",1.0125,0.0258,19.3498569872536,66,"Coastal","VU","Benthopelagic"
"Mustelus_fasciatus","Carcharhiniformes","Triakidae",1.008333333,0.0306,12.9377155285096,177,"Coastal","CR","Benthopelagic"
"Mustelus_griseus","Carcharhiniformes","Triakidae",1.0125,0.0248,18.8042393072796,135,"Coastal","EN","Benthopelagic"
"Mustelus_henlei","Carcharhiniformes","Triakidae",1,0.0264,16.990974444219,100,"Coastal","LC","Benthopelagic"
"Mustelus_higmani","Carcharhiniformes","Triakidae",1.0125,0.0206,24.3425436391208,64,"Coastal","EN","Benthopelagic"
"Mustelus_lenticulatus","Carcharhiniformes","Triakidae",1.4,0.029,11.7084883968316,150,"Coastal","LC","Benthopelagic"
"Mustelus_lunulatus","Carcharhiniformes","Triakidae",1,0.0326,18.1007223052102,175,"Coastal","LC","Benthopelagic"
"Mustelus_manazo","Carcharhiniformes","Triakidae",1,0.0278,18.6143127706103,150,"Coastal","EN","Benthopelagic"
"Mustelus_mento","Carcharhiniformes","Triakidae",0.675,0.0308,12.1701474820367,141,"Coastal","CR","Benthopelagic"
"Mustelus_minicanis","Carcharhiniformes","Triakidae",1.69,0.0282,22.8058650785022,72,"Coastal","EN","Benthopelagic"
"Mustelus_mosis","Carcharhiniformes","Triakidae",0.9,0.0266,23.6837992482798,150,"Coastal","NT","Benthopelagic"
"Mustelus_mustelus","Carcharhiniformes","Triakidae",1,0.0248,16.1153867843421,164,"Coastal","EN","Benthopelagic"
"Mustelus_norrisi","Carcharhiniformes","Triakidae",1.0125,0.0228,23.3080143754363,98,"Coastal","NT","Benthopelagic"
"Mustelus_palumbes","Carcharhiniformes","Triakidae",0.9,0.0296,14.2796131733386,113,"Coastal","LC","Benthopelagic"
"Mustelus_punctulatus","Carcharhiniformes","Triakidae",0.7363636364,0.02,16.6552997447628,122,"Coastal","VU","Benthopelagic"
"Mustelus_ravidus","Carcharhiniformes","Triakidae",1.157142857,0.0238,17.5605849299555,78,"Coastal","LC","Benthopelagic"
"Mustelus_schmitti","Carcharhiniformes","Triakidae",1,0.0256,11.8612519225317,109,"Coastal","CR","Benthopelagic"
"Mustelus_sinusmexicanus","Carcharhiniformes","Triakidae",1.875,0.0294,21.0474085065483,140,"Coastal","LC","Benthopelagic"
"Mustelus_stevensi","Carcharhiniformes","Triakidae",1.25,0.0222,12.8927409419485,103,"Coastal","LC","Benthopelagic"
"Mustelus_whitneyi","Carcharhiniformes","Triakidae",1.111111111,0.0286,15.1642285934602,118,"Coastal","CR","Benthopelagic"
"Mustelus_widodoi","Carcharhiniformes","Triakidae",2.057142857,0.0322,25.839930271902,110,"Coastal","VU","Benthopelagic"
"Nasolamia_velox","Carcharhiniformes","Carcharhinidae",1.706666667,0.0358,19.1075279959289,150,"Coastal","EN","Benthopelagic"
"Nebrius_ferrugineus","Orectolobiformes","Ginglymostomatidae",0.9333333333,0.0292,27.2048607394926,320,"Coastal","VU","Benthic"
"Negaprion_acutidens","Carcharhiniformes","Carcharhinidae",2.594117647,0.0348,27.0306570063317,340,"Coastal","EN","Benthopelagic"
"Negaprion_brevirostris","Carcharhiniformes","Carcharhinidae",1.607142857,0.0436,24.0626596198456,368,"Coastal","VU","Benthopelagic"
"Notorynchus_cepedianus","Hexanchiformes","Hexanchidae",0.9388888889,0.0395714285714286,12.864622114104,296,"Coastal","VU","Benthopelagic"
"Odontaspis_ferox","Lamniformes","Odontaspididae",1.40625,0.056,16.2859276829849,450,"Deepwater","VU","Benthopelagic"
"Odontaspis_noronhai","Lamniformes","Odontaspididae",1.640909091,0.054,14.3543487214549,427,"Deepwater","LC","Benthopelagic"
"Orectolobus_floridus","Orectolobiformes","Orectolobidae",0.4083333333,0.0206,19.51450765204,75,"Coastal","LC","Benthic"
"Orectolobus_halei","Orectolobiformes","Orectolobidae",0.6722222222,0.029,17.9609933975153,206,"Coastal","LC","Benthic"
"Orectolobus_hutchinsi","Orectolobiformes","Orectolobidae",0.4571428571,0.021,20.2936493805041,149,"Coastal","LC","Benthic"
"Orectolobus_japonicus","Orectolobiformes","Orectolobidae",0.625,0.0234,20.170161409312,118,"Coastal","LC","Benthic"
"Orectolobus_leptolineatus","Orectolobiformes","Orectolobidae",0.8333333333,0.0272,27.2823037284688,120,"Coastal","NT","Benthic"
"Orectolobus_maculatus","Orectolobiformes","Orectolobidae",0.6230769231,0.017,18.877224718409,320,"Coastal","LC","Benthic"
"Orectolobus_ornatus","Orectolobiformes","Orectolobidae",0.5785714286,0.0228,23.6363318078263,120,"Coastal","LC","Benthic"
"Orectolobus_parvimaculatus","Orectolobiformes","Orectolobidae",0.8333333333,0.0278,20.9357775172612,94.3,"Coastal","LC","Benthic"
"Orectolobus_reticulatus","Orectolobiformes","Orectolobidae",1.5,0.0316,28.4669583792328,52,"Coastal","DD","Benthopelagic"
"Orectolobus_wardi","Orectolobiformes","Orectolobidae",0.625,0.0304,27.6777397132422,63,"Coastal","LC","Benthic"
"Oxynotus_bruniensis","Squaliformes","Oxynotidae",2.104347826,0.0108,11.128731471341,76,"Deepwater","NT","Benthic"
"Oxynotus_caribbaeus","Squaliformes","Oxynotidae",1.219047619,0.018,13.5437471915703,49,"Deepwater","LC","Benthic"
"Oxynotus_centrina","Squaliformes","Oxynotidae",1.7,0.0174,12.769117563936,150,"Deepwater","EN","Benthic"
"Oxynotus_japonicus","Squaliformes","Oxynotidae",1.505882353,0.0178,16.7138568478662,65,"Deepwater","VU","Benthic"
"Oxynotus_paradoxus","Squaliformes","Oxynotidae",1.6,0.0144,10.0800249020677,118,"Deepwater","VU","Benthic"
"Paragaleus_leucolomatus","Carcharhiniformes","Hemigaleidae",1.6,0.038,26.8095430633397,96,"Coastal","VU","Benthopelagic"
"Paragaleus_pectoralis","Carcharhiniformes","Hemigaleidae",1,0.0274,21.3619823002981,138,"Coastal","EN","Benthopelagic"
"Paragaleus_randalli","Carcharhiniformes","Hemigaleidae",0.9090909091,0.0278,28.0763377761933,84,"Coastal","VU","Benthopelagic"
"Paragaleus_tengi","Carcharhiniformes","Hemigaleidae",0.9,0.0368,24.0866978418731,93,"Coastal","EN","Benthopelagic"
"Parascyllium_collare","Orectolobiformes","Parascyllidae",0.49,0.0196,19.8842016482826,87,"Coastal","LC","Benthic"
"Parascyllium_elongatum","Orectolobiformes","Parascyllidae",0.4166666667,0.0164,17.8404133194371,42,"Coastal","DD","Benthic"
"Parascyllium_ferrugineum","Orectolobiformes","Parascyllidae",0.3125,0.0204,15.5668691424436,80,"Coastal","LC","Benthic"
"Parascyllium_sparsimaculatum","Orectolobiformes","Parascyllidae",0.3125,0.019,15.0590469155993,78.1,"Deepwater","DD","Benthic"
"Parascyllium_variolatum","Orectolobiformes","Parascyllidae",0.4,0.021,16.5023259114889,91,"Coastal","LC","Benthic"
"Parmaturus_albipenis","Carcharhiniformes","Pentanchidae",1.408333333,0.0268,6.12025885120515,41.5,"Deepwater","LC","Benthic"
"Parmaturus_lanatus","Carcharhiniformes","Pentanchidae",0.4923076923,0.0228,5.91075854074387,36,"Deepwater","LC","Benthic"
"Parmaturus_macmillani","Carcharhiniformes","Pentanchidae",1.309090909,0.0244,4.85631062657225,47,"Deepwater","DD","Benthic"
"Parmaturus_pilosus","Carcharhiniformes","Pentanchidae",0.625,0.0242,11.9553940207079,64,"Deepwater","LC","Benthic"
"Parmaturus_xaniurus","Carcharhiniformes","Pentanchidae",0.81,0.0302,7.5894945680696,61,"Deepwater","LC","Benthopelagic"
"Pentanchus_profundicolus","Carcharhiniformes","Pentanchidae",0.56,0.0194,5.5327273607254,50.8,"Deepwater","LC","Benthic"
"Planonasus_parini","Carcharhiniformes","Pseudotriakidae",0.96,0.0288,10.3922812697121,53,"Deepwater","LC","Benthic"
"Pliotrema_warreni","Pristiophoriformes","Pristiophoridae",0.6,0.0193333333333333,16.2808828940616,136,"Deepwater","LC","Benthic"
"Poroderma_africanum","Carcharhiniformes","Scyliorhinidae",0.7692307692,0.0254,16.0306548984515,109,"Coastal","LC","Benthic"
"Poroderma_pantherinum","Carcharhiniformes","Scyliorhinidae",0.7363636364,0.0294,16.1993697095837,77,"Coastal","LC","Benthic"
"Prionace_glauca","Carcharhiniformes","Carcharhinidae",3.025,0.03,14.4579695751471,380,"Pelagic","NT","Pelagic"
"Pristiophorus_cirratus","Pristiophoriformes","Pristiophoridae",0.32,0.026,14.0545604409804,149,"Coastal","LC","Benthic"
"Pristiophorus_delicatus","Pristiophoriformes","Pristiophoridae",0.6,0.0194,17.4843732663189,95,"Deepwater","LC","Benthic"
"Pristiophorus_japonicus","Pristiophoriformes","Pristiophoridae",0.2666666667,0.015,13.9430764117907,153,"Deepwater","LC","Benthic"
"Pristiophorus_lanae","Pristiophoriformes","Pristiophoridae",1.007,0.0204,13.1822141919817,89.5,"Deepwater","NT","Benthic"
"Pristiophorus_nancyae","Pristiophoriformes","Pristiophoridae",0.4166666667,0.0156,11.4816980588234,62,"Deepwater","LC","Benthic"
"Pristiophorus_nudipinnis","Pristiophoriformes","Pristiophoridae",0.45,0.0198,15.4344583307215,124,"Coastal","LC","Benthic"
"Pristiophorus_schroederi","Pristiophoriformes","Pristiophoridae",0.5142857143,0.0216,11.9286023370875,81,"Deepwater","LC","Benthopelagic"
"Proscyllium_habereri","Carcharhiniformes","Proscyllidae",0.7111111111,0.0198,18.6486034727828,65,"Coastal","VU","Benthic"
"Proscyllium_magnificum","Carcharhiniformes","Proscyllidae",0.64,0.0208,13.6194707679749,49,"Coastal","NT","Benthic"
"Pseudotriakis_microdon","Carcharhiniformes","Pseudotriakidae",0.9090909091,0.0258,7.70414313614287,296,"Deepwater","LC","Benthopelagic"
"Rhincodon_typus","Orectolobiformes","Rhincodontidae",5.12,0.0892,13.2870817289305,2000,"Pelagic","EN","Pelagic"
"Rhizoprionodon_acutus","Carcharhiniformes","Carcharhinidae",2.16,0.0298,25.3714552012721,110,"Coastal","VU","Benthopelagic"
"Rhizoprionodon_lalandii","Carcharhiniformes","Carcharhinidae",1.926666667,0.0298,25.4647808193675,77,"Coastal","VU","Benthopelagic"
"Rhizoprionodon_longurio","Carcharhiniformes","Carcharhinidae",1.905882353,0.0316,19.7416245351519,154,"Coastal","VU","Benthopelagic"
"Rhizoprionodon_oligolinx","Carcharhiniformes","Carcharhinidae",1.4,0.0298,27.7709705283068,70,"Coastal","NT","Benthopelagic"
"Rhizoprionodon_porosus","Carcharhiniformes","Carcharhinidae",1.730769231,0.0302,22.3417078900973,110,"Coastal","VU","Benthopelagic"
"Rhizoprionodon_taylori","Carcharhiniformes","Carcharhinidae",2.16,0.0268,26.2242870978837,88,"Coastal","LC","Benthopelagic"
"Rhizoprionodon_terraenovae","Carcharhiniformes","Carcharhinidae",1.969230769,0.0202,16.3145076737575,113,"Coastal","LC","Benthopelagic"
"Schroederichthys_bivius","Carcharhiniformes","Scyliorhinidae",0.49,0.0184,8.94750535082161,82,"Coastal","LC","Benthic"
"Schroederichthys_chilensis","Carcharhiniformes","Scyliorhinidae",0.6125,0.0178,13.1559132991576,70,"Coastal","LC","Benthic"
"Schroederichthys_maculatus","Carcharhiniformes","Scyliorhinidae",1.066666667,0.0172,14.2831627060385,35,"Deepwater","LC","Benthic"
"Schroederichthys_saurisqualus","Carcharhiniformes","Scyliorhinidae",0.8166666667,0.0164,15.0461649141814,70,"Deepwater","VU","Benthic"
"Schroederichthys_tenuis","Carcharhiniformes","Scyliorhinidae",0.5142857143,0.0158,19.580095760866,47,"Deepwater","LC","Benthic"
"Scoliodon_laticaudus","Carcharhiniformes","Carcharhinidae",1.536363636,0.0336,26.8223758506588,91,"Coastal","NT","Benthopelagic"
"Scoliodon_macrorhynchos","Carcharhiniformes","Carcharhinidae",1.536363636,0.0348,25.2365074507119,71,"Coastal","NT","Benthic"
"Scyliorhinus_boa","Carcharhiniformes","Scyliorhinidae",0.7142857143,0.0226,12.4400662215317,54,"Deepwater","LC","Benthic"
"Scyliorhinus_canicula","Carcharhiniformes","Scyliorhinidae",0.5818181818,0.023,12.7983151774939,100,"Coastal","LC","Benthic"
"Scyliorhinus_capensis","Carcharhiniformes","Scyliorhinidae",0.675,0.0262,12.7304278572335,112,"Deepwater","NT","Benthic"
"Scyliorhinus_cervigoni","Carcharhiniformes","Scyliorhinidae",1.607142857,0.0268,15.2713830099581,76,"Coastal","DD","Benthic"
"Scyliorhinus_comoroensis","Carcharhiniformes","Scyliorhinidae",0.675,0.0222,14.885678033034,46,"Deepwater","DD","Benthic"
"Scyliorhinus_haeckelii","Carcharhiniformes","Scyliorhinidae",0.6230769231,0.0178,16.1634376315048,57,"Deepwater","DD","Benthic"
"Scyliorhinus_hesperius","Carcharhiniformes","Scyliorhinidae",0.5333333333,0.0266,12.0346537105812,47,"Deepwater","LC","Benthic"
"Scyliorhinus_meadi","Carcharhiniformes","Scyliorhinidae",0.4266666667,0.0142,15.2780000582233,75,"Deepwater","LC","Benthic"
"Scyliorhinus_retifer","Carcharhiniformes","Scyliorhinidae",0.6230769231,0.0222,15.8821954214309,59,"Deepwater","LC","Benthic"
"Scyliorhinus_stellaris","Carcharhiniformes","Scyliorhinidae",0.8333333333,0.021,12.9924234343326,162,"Coastal","VU","Benthic"
"Scyliorhinus_torazame","Carcharhiniformes","Scyliorhinidae",0.9090909091,0.0178,18.6360797201835,77.8,"Deepwater","LC","Benthic"
"Scyliorhinus_torrei","Carcharhiniformes","Scyliorhinidae",0.6230769231,0.0176,16.3863211039399,32,"Deepwater","LC","Benthic"
"Scylliogaleus_quecketti","Carcharhiniformes","Triakidae",0.81,0.033,21.7232751607352,102,"Coastal","VU","Benthopelagic"
"Scymnodalatias_albicauda","Squaliformes","Somniosidae",1.40625,0.0318,7.07998003816415,111,"Deepwater","DD","Pelagic"
"Scymnodalatias_garricki","Squaliformes","Somniosidae",1.926666667,0.0366,12.9675936882312,40.6,"Deepwater","DD","Benthic"
"Scymnodalatias_oligodon","Squaliformes","Somniosidae",1.207142857,0.0312,19.4570651706429,26,"Pelagic","LC","Pelagic"
"Scymnodalatias_sherwoodi","Squaliformes","Somniosidae",1.781818182,0.0312,8.72547363879266,85,"Deepwater","DD","Benthopelagic"
