"Genus_species","Order","Family","CFAR","ProportionalGillAverage","AvgTemperature","MaximumBodySize","PrimaryHabitat","IUCNcategory","WaterColumnPosition"
"Asymbolus_submaculatus","Carcharhiniformes","Pentanchidae",0.9090909091,0.0182,17.2033917848844,44,"Coastal","LC","Benthic"
"Asymbolus_vincenti","Carcharhiniformes","Pentanchidae",0.7363636364,0.0152,13.5017894213358,56,"Coastal","LC","Benthic"
"Atelomycterus_baliensis","Carcharhiniformes","Scyliorhinidae",0.9090909091,0.0222,26.0455988892969,47,"Coastal","LC","Benthic"
"Atelomycterus_erdmanni","Carcharhiniformes","Scyliorhinidae",0.728,0.0274,28.1446038665194,51,"Coastal","LC","Benthic"
"Atelomycterus_fasciatus","Carcharhiniformes","Scyliorhinidae",1.157142857,0.0228,25.2606661777593,45,"Coastal","LC","Benthic"
"Atelomycterus_macleayi","Carcharhiniformes","Scyliorhinidae",0.9090909091,0.0236,27.7685861845784,60,"Coastal","LC","Benthic"
"Atelomycterus_marmoratus","Carcharhiniformes","Scyliorhinidae",0.4454545455,0.025,26.8066566268539,70,"Coastal","NT","Benthic"
"Atelomycterus_marnkalha","Carcharhiniformes","Scyliorhinidae",0.9,0.0206,26.3808495941318,48.4,"Coastal","DD","Benthic"
"Aulohalaelurus_kanakorum","Carcharhiniformes","Scyliorhinidae",0.8333333333,0.0226,23.6696482057925,78.5,"Coastal","DD","Benthic"
"Aulohalaelurus_labiosus","Carcharhiniformes","Scyliorhinidae",0.7363636364,0.021,19.5463430721431,67,"Coastal","LC","Benthic"
"Brachaelurus_colcloughi","Orectolobiformes","Brachaeluridae",0.675,0.0256,23.8939175879657,85,"Coastal","VU","Benthic"
"Brachaelurus_waddi","Orectolobiformes","Brachaeluridae",0.625,0.0248,20.625154743788,120,"Coastal","LC","Benthic"
"Bythaelurus_canescens","Carcharhiniformes","Pentanchidae",0.7363636364,0.0148,7.87019768016346,85,"Deepwater","VU","Benthic"
"Bythaelurus_dawsoni","Carcharhiniformes","Pentanchidae",0.4083333333,0.0226,8.18736307126595,42,"Deepwater","LC","Benthic"
"Bythaelurus_giddingsi","Carcharhiniformes","Pentanchidae",0.5818181818,0.034,8.11190910637379,45.3,"Deepwater","LC","Benthic"
"Bythaelurus_hispidus","Carcharhiniformes","Pentanchidae",0.4083333333,0.0162,10.8032799144443,37,"Deepwater","NT","Benthic"
"Bythaelurus_immaculatus","Carcharhiniformes","Pentanchidae",0.5444444444,0.0274,6.06326244805605,76.4,"Deepwater","LC","Benthic"
"Bythaelurus_lutarius","Carcharhiniformes","Pentanchidae",0.49,0.0112,12.2154619775969,39,"Deepwater","DD","Benthic"
"Carcharhinus_acronotus","Carcharhiniformes","Carcharhinidae",1.607142857,0.0312,25.314293870673,137,"Coastal","EN","Benthopelagic"
"Carcharhinus_albimarginatus","Carcharhiniformes","Carcharhinidae",3.125,0.044,21.3026204810749,300,"Coastal","VU","Benthopelagic"
"Carcharhinus_altimus","Carcharhiniformes","Carcharhinidae",2.784210526,0.0336,20.3385460353028,300,"Coastal","NT","Benthopelagic"
"Carcharhinus_amblyrhynchoides","Carcharhiniformes","Carcharhinidae",2.688888889,0.0482,27.8047066661381,178,"Coastal","VU","Pelagic"
"Carcharhinus_amblyrhynchos","Carcharhiniformes","Carcharhinidae",3.388235294,0.045,25.5538061698416,255,"Coastal","EN","Benthopelagic"
"Carcharhinus_amboinensis","Carcharhiniformes","Carcharhinidae",2.645,0.0304,27.3717817926332,280,"Coastal","VU","Benthopelagic"
"Carcharhinus_borneensis","Carcharhiniformes","Carcharhinidae",1.505882353,0.0278,28.2774419413627,70,"Coastal","CR","Benthopelagic"
"Carcharhinus_brachyurus","Carcharhiniformes","Carcharhinidae",4.55625,0.0364,14.4556202117456,325,"Coastal","VU","Pelagic"
"Carcharhinus_brevipinna","Carcharhiniformes","Carcharhinidae",3.111764706,0.0426,23.7116684999581,304,"Coastal","VU","Pelagic"
"Carcharhinus_cautus","Carcharhiniformes","Carcharhinidae",3.025,0.0286,26.872673918175,150,"Coastal","LC","Benthopelagic"
"Carcharhinus_cerdale","Carcharhiniformes","Carcharhinidae",2.361,0.0336,23.5946516945366,140,"Coastal","CR","Benthopelagic"
"Carcharhinus_coatesi","Carcharhiniformes","Carcharhinidae",2.406666667,0.036,26.3906796775,88,"Coastal","LC","Benthopelagic"
"Carcharhinus_dussumieri","Carcharhiniformes","Carcharhinidae",2.133333333,0.0396,25.1266039766594,100,"Coastal","EN","Benthopelagic"
"Carcharhinus_falciformis","Carcharhiniformes","Carcharhinidae",2.594117647,0.0388,18.7936902899205,371,"Pelagic","VU","Pelagic"
"Carcharhinus_fitzroyensis","Carcharhiniformes","Carcharhinidae",1.152941176,0.0304,27.425955020687,135,"Coastal","LC","Benthopelagic"
"Carcharhinus_galapagensis","Carcharhiniformes","Carcharhinidae",4.736842105,0.0424,21.8439662098434,370,"Pelagic","LC","Pelagic"
"Carcharhinus_humani","Carcharhiniformes","Carcharhinidae",1.934,0.0394,26.1535910406863,83,"Coastal","DD","Pelagic"
