"","order_name","family_name","genus_name","species_name","scientific_name","upper_depth_iucn_api","lower_depth_iucn_api","upper_depth_genus_mean","lower_depth_genus_mean","upper_depth_combined","lower_depth_combined","num_surface_cells_dissolved_oxygen","num_total_cells_dissolved_oxygen","num_depths_dissolved_oxygen","extreme_min_dissolved_oxygen_micromoles_per_kg","extreme_max_dissolved_oxygen_micromoles_per_kg","extreme_dif_dissolved_oxygen_micromoles_per_kg","average_dissolved_oxygen_micromoles_per_kg","num_surface_cells_temperature","num_total_cells_temperature","num_depths_temperature","extreme_min_temperature_celsius","extreme_max_temperature_celsius","extreme_dif_temperature_celsius","average_temperature_celsius"
"18","MYLIOBATIFORMES","MYLIOBATIDAE","Aetomylaeus","caeruleofasciatus","Aetomylaeus caeruleofasciatus",8,117,2,98.8571428571429,8,117,19,1743,20,70.3966598510742,223.026901245117,138.102630615234,189.954528445289,75,20468,20,2.77129006385803,29.6462097167969,26.5213813781738,26.4123059792376
"19","MYLIOBATIFORMES","MYLIOBATIDAE","Aetomylaeus","maculatus","Aetomylaeus maculatus",0,60,2,98.8571428571429,0,60,36,1289,13,0,252.805847167969,232.484375,186.343415804109,145,10541,13,3.72439002990723,32.111988067627,25.6907806396484,27.0621715698011
"20","MYLIOBATIFORMES","MYLIOBATIDAE","Aetomylaeus","milvus","Aetomylaeus milvus",0,90,2,98.8571428571429,0,90,15,853,19,0,306.709228515625,294.577453613281,152.831365556259,59,12696,19,5.01620006561279,35.6816902160645,25.6203002929688,24.5241011928746
"21","MYLIOBATIFORMES","MYLIOBATIDAE","Aetomylaeus","nichofii","Aetomylaeus nichofii",5,115,2,98.8571428571429,5,115,67,12322,21,0,380.169738769531,374.896881103516,180.938067300079,266,181098,21,0.133589997887611,31.8292999267578,28.7154903411865,25.21858102773
"22","MYLIOBATIFORMES","MYLIOBATIDAE","Aetomylaeus","vespertilio","Aetomylaeus vespertilio",0,110,2,98.8571428571429,0,110,61,6361,21,0,269.116912841797,232.81494140625,182.203940550011,246,69661,21,2.69889998435974,33.084300994873,27.2327899932861,26.5760529252907
"23","LAMNIFORMES","ALOPIIDAE","Alopias","pelagicus","Alopias pelagicus",0,300,0,635,0,300,75,314260,29,0,380.169738769531,374.896881103516,176.506062150913,299,5026037,29,0.101089999079704,35.2927017211914,28.8861103057861,22.3798087793732
"24","LAMNIFORMES","ALOPIIDAE","Alopias","superciliosus","Alopias superciliosus",0,955,0,635,0,955,94,120888,46,0,349.231292724609,294.577453613281,149.024415154586,376,1703084,46,-1.98351001739502,34.0424880981445,28.8861103057861,16.8511466530151
"25","LAMNIFORMES","ALOPIIDAE","Alopias","superciliosus","Alopias superciliosus",0,955,0,635,0,955,94,120888,46,0,349.231292724609,294.577453613281,149.024415154586,376,1703084,46,-1.98351001739502,34.0424880981445,28.8861103057861,16.8511466530151
"26","LAMNIFORMES","ALOPIIDAE","Alopias","vulpinus","Alopias vulpinus",0,650,0,635,0,650,115,61887,40,0,459.997863769531,348.090118408203,178.354894539392,458,837885,40,-2.01161003112793,34.0424880981445,28.8861103057861,15.1477254698302
"27","RAJIFORMES","RAJIDAE","Amblyraja","badia","Amblyraja badia",846,2324,474.1,1829.9,846,2324,60,10373,27,0,109.252159118652,69.4678573608398,45.2191556297824,243,113814,27,2.02039003372192,6.01460981369019,1.15599012374878,2.57887420956557
"28","RAJIFORMES","RAJIDAE","Amblyraja","doellojuradoi","Amblyraja doellojuradoi",50,1000,474.1,1829.9,50,1000,23,2042,37,131.764297485352,348.658843994141,158.659454345703,276.892104183425,93,22698,37,1.37190997600555,17.7295913696289,7.24759960174561,6.70654828919851
"29","RAJIFORMES","RAJIDAE","Amblyraja","frerichsi","Amblyraja frerichsi",600,2610,474.1,1829.9,600,2610,28,1078,35,48.392951965332,260.715728759766,81.5785522460938,135.08584716811,114,6064,35,2.64038991928101,6.94989013671875,0.862199783325195,3.41217443539631
"30","RAJIFORMES","RAJIDAE","Amblyraja","georgiana","Amblyraja georgiana",20,1255,474.1,1829.9,20,1255,33,12889,48,85.2923049926758,488.256134033203,250.83757019043,264.1028429165,131,138226,48,-2.09999990463257,16.609790802002,9.64739990234375,1.48418898616043
"31","RAJIFORMES","RAJIDAE","Amblyraja","hyperborea","Amblyraja hyperborea",260,2500,474.1,1829.9,260,2500,132,37079,46,0,351.940765380859,125.804061889648,178.437767505578,528,446864,46,-2.10110807418823,15.4028902053833,7.62431001663208,4.22647764344372
