"model","k","q","C","p","CICc","delta_CICc","l","w"
"Hab_One",5,16,9.76932514512152,0.460959076968025,43.0198998577652,0,1,0.937035360634923
"Hab_Two",5,16,15.1696206066582,0.125999081655174,48.4201953193019,5.40029546153672,0.0671955851510378,0.0629646393650774
