"model","k","q","C","p","CICc","delta_CICc","l","w"
"DO_One",8,20,54.644902358674,4.0667760534685e-06,96.6401517648497,0,1,0.986390752172041
"DO_Two",8,20,63.2115084136109,1.49247975533839e-07,105.206757819787,8.56660605493691,0.0137970148219565,0.0136092478279585
